ticker,short name,name
A,agilent,Agilent
AA,alcoa,Alcoa
AABA,altaba,Altaba
AAC,aac,AAC
AADR,advisorshares-dorsey-wright,AdvisorShares Dorsey Wright
AAL,american-airlines,American Airlines
AAMC,altisource-asset-management,Altisource Asset Management
AAME,atlantic-american,Atlantic American
AAN,aaron's,Aaron's
AAOI,applied-optoelectronics,Applied Optoelectronics
AAON,aaon,AAON
AAP,advance-auto-parts,Advance Auto Parts
AAPL,apple,Apple
AAT,american-assets-trust,American Assets Trust
AAU,almaden-minerals,Almaden Minerals
AAWW,atlas-air-worldwide,Atlas Air Worldwide
AAXJ,ishares-msci-all-country-asia-ex-japan-index-fund,iShares MSCI All Country Asia ex Japan Index Fund
AAXN,axon-enterprise,Axon Enterprise
AB,alliancebernstein-holding-units,AllianceBernstein Holding Units
ABB,abb,ABB
ABBV,abbvie,AbbVie
ABC,amerisourcebergen,AmerisourceBergen
ABCB,ameris-bancorp,Ameris Bancorp
ABDC,alcentra-capital,Alcentra Capital
ABEO,abeona-therapeutics,Abeona Therapeutics
ABEV,ambev-s-a-american-depositary-shares-(each-representing-1),Ambev S.A. American Depositary Shares (Each representing 1)
ABG,asbury-automotive,Asbury Automotive
ABIL,ability,Ability
ABIO,arca-biopharma,ARCA biopharma
ABM,abm-industries-incorporated,ABM Industries Incorporated
ABMD,abiomed,ABIOMED
ABR,arbor-realty-trust,Arbor Realty Trust
ABT,abbott-laboratories,Abbott Laboratories
ABTX,allegiance-bancshares,Allegiance Bancshares
ABUS,arbutus-biopharma,Arbutus Biopharma
AC,associated-capital,Associated Capital
ACA,arcosa,Arcosa
ACAD,acadia-pharmaceuticals,ACADIA Pharmaceuticals
ACB,aurora-cannabis,Aurora Cannabis
ACBI,atlantic-capital-bancshares,Atlantic Capital Bancshares
ACC,american-campus-communities,American Campus Communities
ACCO,acco-brands,Acco Brands
ACER,acer-therapeutics,Acer Therapeutics
ACET,aceto,Aceto
ACGL,arch-capital,Arch Capital
ACH,aluminum-of-china-limited-american-depositary-shares,Aluminum of China Limited American Depositary Shares
ACHC,acadia-healthcare-company,Acadia Healthcare Company
ACHN,achillion-pharmaceuticals,Achillion Pharmaceuticals
ACHV,achieve-life-sciences,Achieve Life Sciences
ACIA,acacia-communications,Acacia Communications
ACIM,spdr-msci-acwi-imi,SPDR MSCI ACWI IMI
ACIU,ac-immune-sa,AC Immune SA
ACIW,aci-worldwide,ACI Worldwide
ACLS,axcelis,Axcelis
ACM,aecom,AECOM
ACMR,acm-research,ACM Research
ACN,accenture-plc-(ireland),Accenture plc (Ireland)
ACNB,acnb,ACNB
ACOR,acorda-therapeutics,Acorda Therapeutics
